C Error #Support_vectors
0.01 0.947748513169 662
0.0137382379588 0.0522514868309 664
0.0188739182214 0.0522514868309 664
0.025929437974 0.0522514868309 666
0.0356224789026 0.0522514868309 664
0.0489390091848 0.0522514868309 664
0.067233575365 0.0522514868309 434
0.0923670857187 0.053525913339 423
0.126896100317 0.482158028887 671
0.17433288222 0.308836023789 331
0.239502661999 0.0598980458794 419
0.329034456231 0.0909090909091 465
0.452035365636 0.831775700935 589
0.621016941892 0.662701784197 372
0.853167852417 0.7158028887 481
1.17210229753 0.225573491929 611
1.61026202756 0.494902293968 275
2.21221629107 0.709005947324 450
3.03919538231 0.328802039082 621
4.17531893656 0.59940526763 426
5.73615251045 0.633389974511 662
7.88046281567 0.0781648258284 626
10.8263673387 0.294392523364 294
14.8735210729 0.203483432455 333
20.4335971786 0.153355989805 492
28.0721620394 0.938402718777 456
38.5662042116 0.478759558199 413
52.9831690628 0.672472387426 302
72.7895384398 0.443925233645 274
100.0 0.681393372982 358
final err 0.235 final c 0.067233575365
